timestamp,input,intent,confidence,correct
2025-10-15T21:39:19.855089,hi,greeting,1.0,True
2025-10-15T21:39:32.356345,how are you ?,teach,0.39603392473131793,True
2025-10-15T21:39:50.462341,how am i doing thiss week,summary,1.0,True
2025-10-15T21:40:05.190011,create 15 day plan,plan,1.0,True
2025-10-15T21:40:14.129082,great,unknown,0.0,True
2025-10-15T21:40:25.146777,teach me about the GDP,stats,0.5856024312575387,True
2025-10-15T21:40:29.334935,unit 1,unknown,0.0,True
2025-10-15T21:40:40.492308,stats for science,stats,0.7071067811865476,True
2025-10-15T21:45:13.676253,show my data,stats,1.0,True
2025-10-16T11:58:58.989547,hi,greeting,1.0,True
